-,Rook Ceph (standalone),SeaweedFS,Scality ARTESCA,Cloudflare R2,Wasabi,Backblaze B2,Portworx,ODF,MinIO (archived),Garage,RustFS,Dell ObjectScale,NetApp StorageGRID,VAST Data,Cloudian HyperStore
License,"Apache 2.0 (Rook) / LGPL 2.1/3.0 (Ceph)",Apache 2.0,"Proprietary (COSI/CSI drivers Apache 2.0)",Proprietary (cloud),Proprietary (cloud),Proprietary (cloud),Proprietary,Proprietary (Red Hat),AGPL-3.0,AGPL-3.0,Apache 2.0,Proprietary,Proprietary,Proprietary,Proprietary
Product Inclusion Risk,Low (Rook) / Moderate (Ceph LGPL),Low,Low (drivers only),N/A (cloud),N/A (cloud),N/A (cloud),N/A (proprietary),N/A (proprietary),High (AGPL),High (AGPL),Low,N/A (proprietary),N/A (proprietary),N/A (proprietary),N/A (proprietary)
License Stability,"Stable (CNCF graduated, no changes)",Stable (no changes),N/A,N/A,N/A,N/A,N/A,N/A,"Changed (Apache 2.0 → AGPL May 2021)",Stable,Stable (new project),N/A,N/A,N/A,N/A
Status,Active (CNCF Graduated),"Active since 2012, v4.21 Apr 2026","Active, HPE partnership",Active,Active,Active,Active,Active,"Archived Apr 25, 2026","Active, ~3,600 stars","Alpha, 13 CVEs Dec 2025–Apr 2026",Active,Active,Active,"Active, OpenShift announced"
Type,On-cluster (operator),"On-cluster (operator/Helm)",On-cluster (Kubernetes-native),Off-cluster (managed),Off-cluster (managed),Off-cluster (managed),On-cluster (operator),On-cluster (operator),On-cluster (operator),On-cluster (Helm),"On-cluster (operator, alpha)",On-cluster,On-cluster or external,"Off-cluster, CSI",On-cluster (announced)
Hosted/Local,Local/Self-hosted,Local/Self-hosted,Local/Self-hosted,Hosted Only,Hosted Only,Hosted Only,Local/Self-hosted,Local/Self-hosted,Both (AIStor = Hosted),Local/Self-hosted,Local/Self-hosted,Local/Self-hosted,Local/Self-hosted,Both,Local/Self-hosted
S3 API Depth,Comprehensive (RGW),Near-complete,Full (claimed),"Limited (no versioning, object lock, ACLs)",Full (claimed),"Limited (no IAM, tagging, website)",Backend-dependent,Comprehensive (RGW),Full (no ACLs),"Minimal (no versioning, object lock, ACLs)",Full (claimed — alpha),Full (claimed),Full,"Full (v4.3+)",Full (claimed)
S3 Versioning,Yes,Yes,Yes,No,Yes,Yes,Backend-dependent,Yes,Yes,No,Yes (alpha),Yes,Yes,Yes,Yes
S3 Object Lock,Yes,Yes,Yes,No,Yes (SEC 17a-4 assessed),No,Backend-dependent,Yes,Yes,No,Yes (alpha),Yes,Yes,Yes (v4.3),Yes
S3 Lifecycle,Full,"Partial (expiration only, no transitions)",Full,No,Full,No,Backend-dependent,Full,"Full (except AbortIncompleteMultipartUpload)","Partial (expiration + abort only)",Unknown,Partial (expiration only),Not documented,Not documented,Not documented
S3 SSE-KMS,Yes,Yes,Yes,No,Yes,No,Backend-dependent,Yes,Yes,No,Unknown,Not documented,Not documented,Yes,Not documented
S3 SSE-C,Yes,Yes,Yes,Yes,Yes,Yes,Backend-dependent,Yes,Yes,Yes,Unknown,Not documented,Not documented,Not documented,Not documented
S3 ACLs,Yes,Yes,Yes,No,Yes,"Partial (bucket toggle: private/public-read only)",Backend-dependent,Yes,"No (use policies instead)",No,Unknown,Not documented,Not documented,Not documented,Not documented
S3 Bucket Policies,Yes,Yes,Yes,No,Yes,No,Backend-dependent,Yes,Yes,No,Unknown,Not documented,Not documented,Not documented,Not documented
S3 Replication,"Yes (active-active, not for WAN)",No,"Yes (active-active bidirectional)",No,Yes,No,Backend-dependent,Yes,"Yes (active-active mesh)",No,Unknown,Not documented,"Yes (CGR, 16+ sites)",Not documented,Not documented
S3 Notifications,Yes,No,Yes,No,Yes,No,Backend-dependent,Yes,Yes,No,Unknown,Not documented,Not documented,Not documented,Not documented
S3 IAM/STS,Yes,"Yes (embedded IAM, STS, OIDC)",Yes,No,Yes,No,Backend-dependent,Yes,Yes,No,Unknown,Not documented,Not documented,Yes,Not documented
S3 Tagging,Yes,Yes,Yes,No,Yes,"No (returns empty tags for compat)",Backend-dependent,Yes,Yes,No,Unknown,Yes,Not documented,Not documented,Not documented
Minimum Nodes,3,1 (3 for HA),1,N/A,N/A,N/A,3 (6 recommended),3,4 (distributed),1,Similar to MinIO,Enterprise scale,3 per site,8 DBoxes (HA),Not published
Minimum CPU (HA),"24 cores (3 × 8)",12 cores (3 × 4),Not published,N/A,N/A,N/A,"24 cores (3 × 8)","48 cores (3 × 16)",~8 cores (4 × 2),1 core,Not published,Enterprise,24 cores (3 × 8),Enterprise,Not published
Minimum RAM (HA),"48 GB (3 × 16)","12 GB (3 × 4)",Not published,N/A,N/A,N/A,"96 GB (3 × 32)","192 GB (3 × 64)","8 GB (4 × 2)",512 MB,Not published,Enterprise,"72 GB (3 × 24)",Enterprise,Not published
Network Requirements,"10 GbE min, 25 GbE recommended","10 Gbps recommended","2×1Gb + 2×10Gb",N/A,N/A,N/A,Not published,10 GbE min,"10 GbE min, 100 GbE recommended","50 Mbps min, 200ms max latency",Not published,Not published,Not published,Not published,Not published
Relative Weight (vs Garage),96x,24x (HA),Not published,N/A,N/A,N/A,192x,384x,16x,"1x (baseline, 512 MB)",Not published,Enterprise,Not published,Enterprise,Not published
Install Method,Operator + CRDs,"Operator / Helm / Bitnami",MetalK8s bundle,S3 API endpoint,S3 API endpoint,S3 API endpoint,OperatorHub,Operator + CRDs,Operator,Helm + manual layout,Operator (alpha),Software Bundle or customer OpenShift,"External (CSI in K8s, can deploy in K8s)",CSI driver + operator,Not published
Privileged SCCs Required,Yes,No,Unknown,N/A,N/A,N/A,DaemonSet,Yes,No,No,No,Not documented,N/A,N/A,Not documented
Red Hat Certified Operator,No (Rook is CNCF),No,No,No,No,No,Yes,Yes (Red Hat product),Yes (AIStor),No,No,Not confirmed,No,"Yes (VAST CSI Operator)",Not confirmed
OpenShift-Specific Issues,"MON pending, CSI detection, RBAC changes",None documented,"Ships own K8s distro (MetalK8s)",N/A,N/A,N/A,None documented,None,Cert management complexity,None documented,"Alpha — ""Do NOT use in production""",Not documented,N/A,N/A,Not documented
Enterprise Support Provider,"Clyso GmbH / Red Hat (external Ceph)",SeaweedFS Inc (opaque),Scality (vendor-direct),Cloudflare Enterprise,Wasabi (vendor-direct),Backblaze (vendor-direct),"Pure Storage / Red Hat (joint)",Red Hat,MinIO (AIStor only),None,None,Dell Technologies,NetApp,VAST Data,Cloudian
P1 Response Time,"Community / Clyso (not public)",Not public,15 minutes,Enterprise only (not public),15 minutes (with RCS),2 hours (PETA tier),Joint with Red Hat,1 hour (Premium),4 hours (Enterprise),N/A,N/A,4 hours (ProSupport),Not public,Not public,Not public
P2 Response Time,"Community / Clyso (not public)",Not public,4 business hours,Not public,Not public,4 hours (TERA tier),Not public,"2 hours (Premium, 4 hours Standard)",5 business days (Enterprise Lite),N/A,N/A,Not public,Not public,Not public,Not public
24x7 Support,No (community) / Clyso unknown,Not public,Yes (all tiers),Enterprise only,Yes (Premium/RCS),Yes (PETA tier only),Yes,Yes (Premium),Yes (Enterprise),No,No,Yes (ProSupport),Not public,Not public,Not public
SLA Credits,N/A,N/A,"Yes ($500 per failure)",Not documented,Not documented,Not documented,Not documented,Not documented,Not documented,N/A,N/A,Not documented,Not documented,Not documented,Not documented
Support Channels,"Slack, GitHub / Clyso portal",Not public,"Portal, phone (10 global hotlines), Slack (Enterprise)",Portal,Portal,Email / Hotline (PETA) / Slack (PETA),Portal / Phone,Red Hat Portal,SUBNET only,GitHub,GitHub,Dell Support,NetApp Support,VAST Support,Cloudian Support
Storage Cost (on-cluster license/yr),$0 (open source),$0 (open source),"<$4K/yr for 50TB (includes 24x7 support)","$0.015/GB-month ($15.36/TB-month, ~$9.2K/yr for 50TB)",$6.99/TB-month (~$4.2K/yr for 50TB),$6.95/TB-month (~$4.2K/yr for 50TB),"$1K/node/yr ($3K-$6K for 3-6 nodes)",Bundled with OCP Platform Plus,~$96K/yr for 400TB,$0 (open source),$0 (open source — alpha),Not public,Capacity-based subscription,Capacity + CPU subscription,Not public
Egress Cost,N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),"$0 (free egress, key differentiator)","$0 (free if egress ≤ stored)",Free up to 3× storage; $0.01/GB beyond,N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster)
API Request Cost,N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),"Class A $4.50/M, Class B $0.36/M",$0 (included),"$0 (Class A/B/C free, Class D $0.004/10K)",N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster),N/A (on-cluster)
Free Tier,N/A (open source),N/A (open source),Free 30-day trial,"10 GB + 1M Class A + 10M Class B/month",No (1TB minimum),10 GB always free,No,No,AIStor Free (single-node),N/A (open source),N/A (open source — alpha),No,No,No,No
Hidden Cost Gotchas,"Staffing $90K-$150K/yr per Ceph engineer, 2-3 year learning curve",Not documented,Pricing not public beyond <$4K entry,"Rounding up to next billing unit (1.1 GB → 2 GB billed)",1TB monthly minimum (100GB actual = 10× headline); 90-day minimum duration,None documented,"$1K/node/yr is for the abstraction layer, not storage itself","48 cores + 192 GB = cluster resource impact",AIStor only option (~$96K/yr minimum),3× storage for 3-node replication (no erasure coding),13 security advisories in 5 months,Enterprise procurement,Enterprise procurement,Enterprise procurement,Enterprise procurement
Monitoring,"Built-in Prometheus (port 9283) + 3 Grafana dashboards + AlertManager",Prometheus endpoint,Not public,Cloudflare dashboard,Wasabi console,B2 console,Not documented,"Built-in (ODF Prometheus, Grafana)",Prometheus endpoint,Prometheus endpoint,Prometheus metrics (alpha),Not documented,Not documented,Not documented,Not documented
Upgrade Path,"Sequential only, no rollback documented",Rolling via operator,Managed by vendor,N/A (managed),N/A (managed),N/A (managed),Not documented,Sequential,N/A (archived),Not documented,N/A (alpha),Not documented,Not documented,Not documented,Not documented
Encryption at Rest,"LUKS/dm-crypt at OSD level (30-40% write penalty)",Not documented,Not public,"AES-256 GCM automatic (Cloudflare-managed)",Not documented,SSE-B2 (Backblaze-managed),Not documented,LUKS/dm-crypt,"SSE-KMS/S3/C via KES (claimed wire-speed)",Not documented,AES-256-GCM / ChaCha20-Poly1305,Not documented,Not documented,Not documented,Not documented
Geo-Replication,"Active-active (async, not for WAN)","Synchronous (ZYX notation, writes confirmed all volumes)","Active-active bidirectional, stretched cluster <10ms",No,Yes,"No (single region per account)",Backend-dependent,"Active-active (same Ceph RGW)","Active-active mesh (mutex with bucket replication)",Built-in zone-awareness (CRDTs),Not documented,"Federation up to 8 VDCs, continuous async","CGR up to 16+ sites, zero RPO possible",Not documented,Not documented
Multi-Tenancy,RGW users + buckets,IAM users + buckets,Not public,"Account-based (single tenant per account)",Account-based,Account-based,Namespace isolation,RGW users + buckets,Namespace-level per tenant,Per-access-key-per-bucket,Multi-tenant namespaces,Not documented,Namespace = tenant,Multi-tenancy with QoS,Not documented
WORM/Compliance,Yes (S3 Object Lock),Yes (S3 Object Lock),"Yes (immutability, $100K cyber guarantee)","No (no object lock)",Yes (Compliance mode + Object Lock; SEC 17a-4 assessed by Cohasset),No,Backend-dependent,Yes (S3 Object Lock),"Yes (S3 Object Lock, but project archived)","No (no object lock)",Yes (claimed — alpha),Yes (claimed),"Yes (S3 Object Lock, WORM)",Yes (Object Lock v4.3),Not documented
Known Data Loss Incidents,"--bypass-gc flag deletes copied data; v20.2.0 read affinity corruption",None documented,None documented,N/A,N/A,N/A,None documented,Same as Ceph (underlying engine),"Tiering metadata bug; concurrent upload corruption; site replication data loss",None documented,N/A (alpha),Not documented,Not documented,Not documented,Not documented
Drag and Drop Editor for Workflow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Primary Use Case,"Comprehensive on-cluster S3 with Red Hat ecosystem","Lightweight on-cluster S3, high file counts","Enterprise on-cluster S3 with premium support","Simple put/get, egress-heavy workloads","Full S3 off-cluster at scale","Backup, archival, budget storage","Unified storage abstraction for OpenShift","Fully integrated OpenShift storage (heavy)","Legacy — do not adopt (archived)","Geo-distributed self-hosting, homelab","Future evaluation only — not production","Enterprise on-cluster (procurement cycle)","Enterprise on-prem/hybrid S3","Enterprise unified storage appliance","Enterprise on-prem S3"
